"giornata","team_1","team_2"
12,"Associazione Calcio Frankental","Citizens Kane"
12,"Schroedingers Cats","Hortomusismo FC"
12,"Football Club Internazionale Frankental","Canagliari"
12,"Aston Birra","Bayern Minchien"
12,"Bollito misto","US Teria"
14,"14ª Giornata lega",
14,"Citizens Kane","Football Club Internazionale Frankental"
14,"Schroedingers Cats","Aston Birra"
14,"Hortomusismo FC","Bollito misto"
14,"Associazione Calcio Frankental","Canagliari"
14,"US Teria","Bayern Minchien"
16,"16ª Giornata lega",
16,"US Teria","Citizens Kane"
16,"Bayern Minchien","Schroedingers Cats"
16,"Canagliari","Hortomusismo FC"
16,"Associazione Calcio Frankental","Football Club Internazionale Frankental"
16,"Bollito misto","Aston Birra"
18,"18ª Giornata lega",
18,"Aston Birra","US Teria"
18,"Associazione Calcio Frankental","Hortomusismo FC"
18,"Bollito misto","Schroedingers Cats"
18,"Canagliari","Citizens Kane"
18,"Bayern Minchien","Football Club Internazionale Frankental"
20,"20ª Giornata lega",
20,"Aston Birra","Canagliari"
20,"Schroedingers Cats","Associazione Calcio Frankental"
20,"Bollito misto","Bayern Minchien"
20,"US Teria","Football Club Internazionale Frankental"
20,"Hortomusismo FC","Citizens Kane"
22,"22ª Giornata lega",
22,"Aston Birra","US Teria"
22,"Bayern Minchien","Citizens Kane"
22,"Schroedingers Cats","Canagliari"
22,"Bollito misto","Associazione Calcio Frankental"
22,"Hortomusismo FC","Football Club Internazionale Frankental"
24,"24ª Giornata lega",
24,"Bayern Minchien","Football Club Internazionale Frankental"
24,"Schroedingers Cats","US Teria"
24,"Bollito misto","Citizens Kane"
24,"Hortomusismo FC","Aston Birra"
24,"Associazione Calcio Frankental","Canagliari"
26,"26ª Giornata lega",
26,"Canagliari","Bollito misto"
26,"Citizens Kane","Football Club Internazionale Frankental"
26,"Bayern Minchien","Aston Birra"
26,"Schroedingers Cats","Hortomusismo FC"
26,"Associazione Calcio Frankental","US Teria"
28,"28ª Giornata lega",
28,"Citizens Kane","Hortomusismo FC"
28,"Football Club Internazionale Frankental","Bayern Minchien"
28,"Schroedingers Cats","Bollito misto"
28,"US Teria","Canagliari"
28,"Associazione Calcio Frankental","Aston Birra"
30,"30ª Giornata lega",
30,"Bayern Minchien","Canagliari"
30,"Aston Birra","Hortomusismo FC"
30,"Associazione Calcio Frankental","Bollito misto"
30,"Football Club Internazionale Frankental","US Teria"
30,"Schroedingers Cats","Citizens Kane"
32,"32ª Giornata lega",
32,"Canagliari","Associazione Calcio Frankental"
32,"Aston Birra","Football Club Internazionale Frankental"
32,"Hortomusismo FC","Schroedingers Cats"
32,"Bayern Minchien","Bollito misto"
32,"Citizens Kane","US Teria"
34,"34ª Giornata lega",
34,"Citizens Kane","Canagliari"
34,"US Teria","Aston Birra"
34,"Bollito misto","Hortomusismo FC"
34,"Bayern Minchien","Associazione Calcio Frankental"
34,"Schroedingers Cats","Football Club Internazionale Frankental"
36,"36ª Giornata lega",
36,"Football Club Internazionale Frankental","Citizens Kane"
36,"Bayern Minchien","Hortomusismo FC"
36,"Schroedingers Cats","Aston Birra"
36,"Bollito misto","Canagliari"
36,"US Teria","Associazione Calcio Frankental"
